Brand,Model,Year,Price,Trim,Image Paths,Length (mm),Width (mm),Height (mm),Wheelbase (mm),Number of Seats,Combined Maximum Power (HP @ RPM),Combined Maximum Torque (N.m @ RPM),Maximum Speed (Km/h),Acceleration (0 - 100 km/h),Fuel Tank Capacity (Litre),Combined Fuel/Energy Consumption (Liter/100 KM),Cylinders,Recommend Fuel Grade,Number of Gears
Audi,Q2,2026.0,2200000,S-line,images\Audi Q2 2026\car_img_1.jpg; images\Audi Q2 2026\car_img_2.jpg; images\Audi Q2 2026\car_img_3.jpg; images\Audi Q2 2026\car_img_4.jpg; images\Audi Q2 2026\car_img_5.jpg; images\Audi Q2 2026\car_img_6.jpg; images\Audi Q2 2026\car_img_7.jpg; images\Audi Q2 2026\car_img_8.jpg,4191.0,1547.0,1508.0,2595.0,5.0,150/5000-6000,250/1500-3500,218,8٫8,50.0,5٫3,4.0,95.0,8.0
Audi,Q3,2026.0,2975000,Sportback S-Line Black Package,images\Audi Q3 2026\car_img_1.jpg; images\Audi Q3 2026\car_img_2.jpg; images\Audi Q3 2026\car_img_3.jpg; images\Audi Q3 2026\car_img_4.jpg; images\Audi Q3 2026\car_img_5.jpg; images\Audi Q3 2026\car_img_6.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Audi,Q3,2026.0,2725000,S-Line,images\Audi Q3 2026\car_img_1.jpg; images\Audi Q3 2026\car_img_2.jpg; images\Audi Q3 2026\car_img_3.jpg; images\Audi Q3 2026\car_img_4.jpg; images\Audi Q3 2026\car_img_5.jpg; images\Audi Q3 2026\car_img_6.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Audi,Q3,2026.0,2500000,Advanced,images\Audi Q3 2026\car_img_1.jpg; images\Audi Q3 2026\car_img_2.jpg; images\Audi Q3 2026\car_img_3.jpg; images\Audi Q3 2026\car_img_4.jpg; images\Audi Q3 2026\car_img_5.jpg; images\Audi Q3 2026\car_img_6.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Audi,Q3,2026.0,2900000,Sportback S-Line,images\Audi Q3 2026\car_img_1.jpg; images\Audi Q3 2026\car_img_2.jpg; images\Audi Q3 2026\car_img_3.jpg; images\Audi Q3 2026\car_img_4.jpg; images\Audi Q3 2026\car_img_5.jpg; images\Audi Q3 2026\car_img_6.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Audi,Q6 e-tron,2026.0,4100000,Performance S-line,images\Audi Q6 e-tron 2026\car_img_1.jpg; images\Audi Q6 e-tron 2026\car_img_2.jpg; images\Audi Q6 e-tron 2026\car_img_3.jpg; images\Audi Q6 e-tron 2026\car_img_4.jpg; images\Audi Q6 e-tron 2026\car_img_5.jpg; images\Audi Q6 e-tron 2026\car_img_6.jpg; images\Audi Q6 e-tron 2026\car_img_7.jpg; images\Audi Q6 e-tron 2026\car_img_8.jpg; images\Audi Q6 e-tron 2026\car_img_9.jpg; images\Audi Q6 e-tron 2026\car_img_10.jpg; images\Audi Q6 e-tron 2026\car_img_11.jpg; images\Audi Q6 e-tron 2026\car_img_12.jpg; images\Audi Q6 e-tron 2026\car_img_13.jpg; images\Audi Q6 e-tron 2026\car_img_14.jpg; images\Audi Q6 e-tron 2026\car_img_15.jpg; images\Audi Q6 e-tron 2026\car_img_16.jpg; images\Audi Q6 e-tron 2026\car_img_17.jpg,4771.0,1939.0,1648.0,2899.0,5.0,301,485,210,6٫6,N/A,N/A,N/A,N/A,N/A
Audi,Q7,2025.0,5750000,S-Line Plus,images\Audi Q7 2025\car_img_1.jpg; images\Audi Q7 2025\car_img_2.jpg; images\Audi Q7 2025\car_img_3.jpg; images\Audi Q7 2025\car_img_4.jpg; images\Audi Q7 2025\car_img_5.jpg; images\Audi Q7 2025\car_img_6.jpg; images\Audi Q7 2025\car_img_7.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Audi,Q7,2025.0,5250000,S-Line,images\Audi Q7 2025\car_img_1.jpg; images\Audi Q7 2025\car_img_2.jpg; images\Audi Q7 2025\car_img_3.jpg; images\Audi Q7 2025\car_img_4.jpg; images\Audi Q7 2025\car_img_5.jpg; images\Audi Q7 2025\car_img_6.jpg; images\Audi Q7 2025\car_img_7.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Audi,Q8,2025.0,7100000,S-Line,images\Audi Q8 2025\car_img_1.jpg; images\Audi Q8 2025\car_img_2.jpg; images\Audi Q8 2025\car_img_3.jpg; images\Audi Q8 2025\car_img_4.jpg; images\Audi Q8 2025\car_img_5.jpg; images\Audi Q8 2025\car_img_6.jpg; images\Audi Q8 2025\car_img_7.jpg; images\Audi Q8 2025\car_img_8.jpg; images\Audi Q8 2025\car_img_9.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Audi,Q8,2025.0,7350000,S-Line Plus,images\Audi Q8 2025\car_img_1.jpg; images\Audi Q8 2025\car_img_2.jpg; images\Audi Q8 2025\car_img_3.jpg; images\Audi Q8 2025\car_img_4.jpg; images\Audi Q8 2025\car_img_5.jpg; images\Audi Q8 2025\car_img_6.jpg; images\Audi Q8 2025\car_img_7.jpg; images\Audi Q8 2025\car_img_8.jpg; images\Audi Q8 2025\car_img_9.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
