Brand                     | Model                | Trim                                | Drivetrain
Ford                      | Focus                | Connected 5D                        | 
Ford                      | Focus                | Titanium 4D                         | 
Ford                      | Focus                | Titanium 5Dr                        | 
Ford                      | Focus                | Trend 4D                            | 
Forthing                  | S7                   | Ev                                  | 
Forthing                  | S7                   | Reev                                | 
Forthing                  | T5                   | Ev                                  | 
Forthing                  | T5                   | Evo                                 | 
Forthing                  | T5                   | Reev                                | 
Forthing                  | V9                   | Phev                                | 
GAC                       | Aion Y               | Bev Aion Y Plus                     | 
GAC                       | Emkoo                | Ge                                  | 
GAC                       | Emkoo                | Gl                                  | 
GAC                       | Emkoo                | Gs                                  | 
GAC                       | Empow                | Gb                                  | 
GAC                       | Empow                | Ge S-Style                          | 
GAC                       | Empow                | Gs                                  | 
GAC                       | Gs3 Emzoom           | Gb                                  | 
GAC                       | Gs3 Emzoom           | Gl                                  | 
GAC                       | Gs3 Emzoom           | Gs                                  | 
GAC                       | Gs3 Emzoom           | Rs Style                            | 
GAC                       | Gs4                  | Gb                                  | 
GAC                       | Gs4                  | Ge                                  | 
GAC                       | Gs4                  | Gs                                  | 
GAC                       | Gs4 Max              | Premium                             | 
Geely                     | City Ray             | Comfort                             | 
Geely                     | City Ray             | Premium                             | 
Geely                     | City Ray             | Sport                               | 
Geely                     | Coolray              | Comfort                             | 
Geely                     | Coolray              | Gf                                  | 
Geely                     | Coolray              | Gk                                  | 
Geely                     | Coolray              | Gl                                  | 
Geely                     | Coolray              | Premium                             | 
Geely                     | Coolray              | Premium Local                       | 
Geely                     | Coolray              | Sport                               | 
Geely                     | Emgrand              | Gf                                  | 
Geely                     | Emgrand              | Gs                                  | 
Geely                     | Geometry C           | Ev 400                              | 
Geely                     | Geometry C           | Ev 550                              | 
Geely                     | Gx3 Pro              | Premium                             | 
Geely                     | Okavango             | Premium                             | 
Geely                     | Starray              | Comfort                             | 
Geely                     | Starray              | Premium Abou Ghaly                  | 
Geely                     | Starray              | Sport+                              | 
Genesis                   | G80                  | Advanced                            | 
Genesis                   | G80                  | Dynamic                             | 
Genesis                   | G80                  | Performance                         | 
Genesis                   | GV60                 | Advanced                            | 
Genesis                   | GV60                 | Dynamic                             | 
Genesis                   | GV60                 | Performance                         | 
Genesis                   | GV70                 | Advanced                            | 
Genesis                   | GV70                 | Dynamic                             | 
Haval                     | H6                   | Deluxe                              | 
Haval                     | H6                   | Deluxe Sr                           | 
Haval                     | H6                   | High Deluxe                         | 
Haval                     | H6                   | Platinum                            | 
Haval                     | H6                   | Standard                            | 
Haval                     | H6                   | Top Line                            | 
Haval                     | H6                   | Ultra                               | 
Haval                     | H7                   | Highline                            | 
Haval                     | Jolion               | Deluxe                              | 
Haval                     | Jolion               | Deluxe Sr                           | 
Haval                     | Jolion               | High Deluxe                         | 
Haval                     | Jolion               | Standard                            | 
Haval                     | Jolion Pro           | High Deluxe                         | 
Honda                     | Accord               | Ex                                  | 
Honda                     | Accord               | Ex Turbo                            | 
Honda                     | Crv                  | Ex                                  | 
Honda                     | Zrv                  | Ex                                  | 
Hongqi                    | E Hs9                | Luxury                              | 
Hongqi                    | Ehs7                 | Bev                                 | 
Hongqi                    | Hs3                  | Luxury                              | 
Hongqi                    | Ousado               | Comfort                             | 
Hongqi                    | Ousado               | Luxury                              | 
Hyundai                   | Accent Rb            | Dab Abs                             | 
Hyundai                   | Accent Rb            | Dab Abs Plus                        | 
Hyundai                   | Accent Rb            | Gl                                  | 
Hyundai                   | Accent Rb            | Gl Dab Abs                          | 
Hyundai                   | Accent Rb            | Gl Highline                         | 
Hyundai                   | Accent Rb            | Gl Sr                               | 
Hyundai                   | Accent Rb            | Highline                            | 
Hyundai                   | Accent Rb            | Sr                                  | 
Hyundai                   | Elantra Ad           | Modern                              | 
Hyundai                   | Elantra Ad           | Modern Sunroof                      | 
Hyundai                   | Elantra Ad           | Smart                               | 
Hyundai                   | Elantra Ad           | Top Line                            | 
Hyundai                   | Elantra Cn7          | Black Diamond                       | 
Hyundai                   | Elantra Cn7          | Blaze                               | 
Hyundai                   | Elantra Cn7          | Redline                             | 
Hyundai                   | Elantra Cn7          | Shadow                              | 
Hyundai                   | Elantra Hd           | Highline Tinted Glass 15            | 
Hyundai                   | I30                  | Fb Blaze                            | 
Hyundai                   | I30                  | Fb Redline Fastback                 | 
Hyundai                   | I30                  | Hb Blaze                            | 
Hyundai                   | I30                  | Hb Redline                          | 
Hyundai                   | Ioniq5               | Connect Plus                        | 
Hyundai                   | Ioniq5               | Extreme                             | 
Hyundai                   | Ioniq5               | Extreme Lr Awd                      | 
Hyundai                   | Ioniq5               | N Boost Awd                         | 
Hyundai                   | Ioniq6               | Connect Plus Long Range Rwd         | 
Hyundai                   | Ioniq6               | Extreme Long Range Awd              | 
Hyundai                   | Ioniq6               | Extreme Rwd                         | 
Hyundai                   | Santa Fe             | Hev Calligraphy Awd                 | 
Hyundai                   | Santa Fe             | Hev Executive Rwd                   | 
Hyundai                   | Staria               | Hev Premium Lounge 7 Seats          | 
Hyundai                   | Tucson               | Black Diamond                       | 
Hyundai                   | Tucson               | Blaze                               | 
Hyundai                   | Tucson               | N-Line                              | 
Hyundai                   | Tucson               | Night                               | 
Hyundai                   | Tucson               | Redine                              | 
Hyundai                   | Tucson               | Redine N Pack                       | 
Hyundai                   | Tucson               | Shadow                              | 
IM Motors                 | IM5                  | Ultra Efficiency                    | 
IM Motors                 | IM5                  | Ultra Performance                   | 
IM Motors                 | IM5                  | Ultra Range                         | 
IM Motors                 | IM6                  | Ultra Efficiency                    | 
IM Motors                 | IM6                  | Ultra Range                         | 
IM Motors                 | LS7                  | Ultra Performance                   | 
JAC                       | J7                   | Ultimate                            | 
JAC                       | Js2                  | Smart                               | 
JAC                       | Js4                  | Ultimat                             | 
JAC                       | Js6                  | Flagship                            | 
JAC                       | Js6                  | Limited                             | 
JAC                       | Js8 Pro              | Flagship                            | 
JAC                       | Js8 Pro              | Limited                             | 
JAC                       | S2                   | Smart                               | 
Jeep                      | Grand Cherokee       | Limited L 4X4                       | 
Jetour                    | Dashing              | Comfort                             | 
Jetour                    | Dashing              | Luxury                              | 
Jetour                    | T1                   | Automatic                           | 
Jetour                    | T1                   | Luxury                              | 
Jetour                    | T1                   | Matt Color                          | 
Jetour                    | T2                   | Automtic                            | 
Jetour                    | T2                   | Luxury                              | 
Jetour                    | T2                   | Matt Color                          | 
Jetour                    | X70                  | Comfort                             | 
Jetour                    | X70                  | Luxury                              | 
Jetour                    | X70 Plus             | Luxury Local                        | 
Jetour                    | X90 Plus             | Luxury                              | 
Kaiyi                     | X3 Pro               | Flagship                            | 
Kaiyi                     | X3 Pro               | Top Line                            | 
Kaiyi                     | X7                   | Flagship                            | 
Kgm                       | Actyon               | High Line                           | 
