Car Title,Brand,Model,Price,Year,Trim,Mileage,Condition,Transmission,Fuel Type,CC,Color,Location,Body Type,Image Paths,URL
Used Hyundai Verna Manual 2012,Hyundai,Verna,"EGP 345,000",2012,Manual,"295,000 KM",Used,Manual,Petrol,"1,600",Maroon,Cairo,Sedan,images_yallamotor\hyundai_verna_2012_13798\img_1.jpeg; images_yallamotor\hyundai_verna_2012_13798\img_2.jpeg; images_yallamotor\hyundai_verna_2012_13798\img_3.jpeg; images_yallamotor\hyundai_verna_2012_13798\img_4.jpeg; images_yallamotor\hyundai_verna_2012_13798\img_5.jpeg; images_yallamotor\hyundai_verna_2012_13798\img_6.jpeg,https://egypt.yallamotor.com/used-cars/hyundai/verna/2012/used-hyundai-verna-2012-cairo-1588844
Used Hyundai Verna Manual 2012,Hyundai,Verna,"EGP 230,000",2012,Manual,"500,000 KM",Used,Manual,Petrol,"1,600",White,Cairo,Sedan,images_yallamotor\hyundai_verna_2012_31849\img_1.jpg; images_yallamotor\hyundai_verna_2012_31849\img_2.jpg; images_yallamotor\hyundai_verna_2012_31849\img_3.jpg; images_yallamotor\hyundai_verna_2012_31849\img_4.jpg; images_yallamotor\hyundai_verna_2012_31849\img_5.jpg; images_yallamotor\hyundai_verna_2012_31849\img_6.jpg; images_yallamotor\hyundai_verna_2012_31849\img_7.jpg; images_yallamotor\hyundai_verna_2012_31849\img_8.jpg,https://egypt.yallamotor.com/used-cars/hyundai/verna/2012/used-hyundai-verna-2012-cairo-1594555
Used Hyundai Verna 1.6 GLS M/T 2012,Hyundai,Verna,"EGP 350,000",2012,1.6 Gls M/T,"264,000 KM",Used,Manual,Petrol,"1,599",Silver,Cairo,Sedan,images_yallamotor\hyundai_verna_2012_51240\img_1.jpg; images_yallamotor\hyundai_verna_2012_51240\img_2.jpg; images_yallamotor\hyundai_verna_2012_51240\img_3.jpg; images_yallamotor\hyundai_verna_2012_51240\img_4.jpg,https://egypt.yallamotor.com/used-cars/hyundai/verna/2012/used-hyundai-verna-2012-cairo-1599840
Used Hyundai Verna 1.6 GLS A/T 2012,Hyundai,Verna,"EGP 390,000",2012,1.6 Gls A/T,"300,000 KM",Used,Automatic,Petrol,"1,600",Black,Cairo,Sedan,images_yallamotor\hyundai_verna_2012_64857\img_1.jpg; images_yallamotor\hyundai_verna_2012_64857\img_2.jpg; images_yallamotor\hyundai_verna_2012_64857\img_3.jpg; images_yallamotor\hyundai_verna_2012_64857\img_4.jpg; images_yallamotor\hyundai_verna_2012_64857\img_5.jpg; images_yallamotor\hyundai_verna_2012_64857\img_6.jpg; images_yallamotor\hyundai_verna_2012_64857\img_7.jpg; images_yallamotor\hyundai_verna_2012_64857\img_8.jpg; images_yallamotor\hyundai_verna_2012_64857\img_9.jpg; images_yallamotor\hyundai_verna_2012_64857\img_10.jpg; images_yallamotor\hyundai_verna_2012_64857\img_11.jpg; images_yallamotor\hyundai_verna_2012_64857\img_12.jpg; images_yallamotor\hyundai_verna_2012_64857\img_13.jpg,https://egypt.yallamotor.com/used-cars/hyundai/verna/2012/used-hyundai-verna-2012-cairo-1673445
Used Hyundai Verna 1.6 GLS M/T Tinted Glass 2014,Hyundai,Verna,"EGP 410,000",2014,1.6 Gls M/T Tinted Glass,"26,500 KM",Used,Manual,Petrol,"1,599",Gray,Cairo,Sedan,images_yallamotor\hyundai_verna_2014_19242\img_1.jpg; images_yallamotor\hyundai_verna_2014_19242\img_2.jpg; images_yallamotor\hyundai_verna_2014_19242\img_3.jpg; images_yallamotor\hyundai_verna_2014_19242\img_4.jpg; images_yallamotor\hyundai_verna_2014_19242\img_5.jpg,https://egypt.yallamotor.com/used-cars/hyundai/verna/2014/used-hyundai-verna-2014-cairo-1681494
429 Too Many Requests,Hyundai,Verna,N/A,2014,429 Too Many Requests,N/A,Used,N/A,N/A,N/A,N/A,N/A,N/A,,https://egypt.yallamotor.com/used-cars/hyundai/verna/2014/used-hyundai-verna-2014-cairo-1757742
Used Hyundai Verna Automatic 2014,Hyundai,Verna,"EGP 370,000",2014,Automatic,"140,000 KM",Used,Automatic,Petrol,"1,600",Gray,Giza,Sedan,images_yallamotor\hyundai_verna_2014_46800\img_1.jpg; images_yallamotor\hyundai_verna_2014_46800\img_2.jpg; images_yallamotor\hyundai_verna_2014_46800\img_3.jpg; images_yallamotor\hyundai_verna_2014_46800\img_4.jpg; images_yallamotor\hyundai_verna_2014_46800\img_5.jpg,https://egypt.yallamotor.com/used-cars/hyundai/verna/2014/used-hyundai-verna-2014-giza-1605155
Used Hyundai Verna Manual 2014,Hyundai,Verna,"EGP 310,000",2014,Manual,"130,000 KM",Used,Manual,Petrol,"1,600",Other,Giza,Sedan,images_yallamotor\hyundai_verna_2014_62095\img_1.jpeg; images_yallamotor\hyundai_verna_2014_62095\img_2.jpeg; images_yallamotor\hyundai_verna_2014_62095\img_3.jpeg; images_yallamotor\hyundai_verna_2014_62095\img_4.jpeg; images_yallamotor\hyundai_verna_2014_62095\img_5.jpeg; images_yallamotor\hyundai_verna_2014_62095\img_6.jpeg,https://egypt.yallamotor.com/used-cars/hyundai/verna/2014/used-hyundai-verna-2014-giza-1708284
Used Hyundai Verna Automatic 2015,Hyundai,Verna,"EGP 400,000",2015,Automatic,"210,000 KM",Used,Automatic,Petrol,"1,600",Maroon,Alexandria,Sedan,images_yallamotor\hyundai_verna_2015_79325\img_1.jpg; images_yallamotor\hyundai_verna_2015_79325\img_2.jpg; images_yallamotor\hyundai_verna_2015_79325\img_3.jpeg; images_yallamotor\hyundai_verna_2015_79325\img_4.jpeg; images_yallamotor\hyundai_verna_2015_79325\img_5.jpg,https://egypt.yallamotor.com/used-cars/hyundai/verna/2015/used-hyundai-verna-2015-alexandria-1735907
Used Hyundai Verna Automatic 2015,Hyundai,Verna,"EGP 400,000",2015,Automatic,"210,000 KM",Used,Automatic,Petrol,"1,600",Maroon,Alexandria,Sedan,images_yallamotor\hyundai_verna_2015_53032\img_1.jpeg; images_yallamotor\hyundai_verna_2015_53032\img_2.jpeg; images_yallamotor\hyundai_verna_2015_53032\img_3.jpeg; images_yallamotor\hyundai_verna_2015_53032\img_4.jpeg; images_yallamotor\hyundai_verna_2015_53032\img_5.jpeg; images_yallamotor\hyundai_verna_2015_53032\img_6.jpeg; images_yallamotor\hyundai_verna_2015_53032\img_7.jpeg; images_yallamotor\hyundai_verna_2015_53032\img_8.jpeg; images_yallamotor\hyundai_verna_2015_53032\img_9.jpeg; images_yallamotor\hyundai_verna_2015_53032\img_10.jpeg,https://egypt.yallamotor.com/used-cars/hyundai/verna/2015/used-hyundai-verna-2015-alexandria-1736333
Used Hyundai Verna Manual 2015,Hyundai,Verna,"EGP 440,000",2015,Manual,"60,000 KM",Used,Manual,Petrol,"1,600",Gray,Cairo,Sedan,images_yallamotor\hyundai_verna_2015_75648\img_1.jpg; images_yallamotor\hyundai_verna_2015_75648\img_2.jpg; images_yallamotor\hyundai_verna_2015_75648\img_3.jpg; images_yallamotor\hyundai_verna_2015_75648\img_4.jpg,https://egypt.yallamotor.com/used-cars/hyundai/verna/2015/used-hyundai-verna-2015-cairo-2064658
Used Hyundai Verna Manual 2015,Hyundai,Verna,"EGP 350,000",2015,Manual,"160,000 KM",Used,Manual,Petrol,"1,600",Maroon,Dakhaleya,Sedan,images_yallamotor\hyundai_verna_2015_89844\img_1.jpg; images_yallamotor\hyundai_verna_2015_89844\img_2.jpg; images_yallamotor\hyundai_verna_2015_89844\img_3.jpg; images_yallamotor\hyundai_verna_2015_89844\img_4.jpg; images_yallamotor\hyundai_verna_2015_89844\img_5.jpg,https://egypt.yallamotor.com/used-cars/hyundai/verna/2015/used-hyundai-verna-2015-dakhaleya-2079000
Used Hyundai Verna Automatic 2015,Hyundai,Verna,"EGP 430,000",2015,Automatic,"130,000 KM",Used,Automatic,Petrol,"1,600",Bronze,Giza,Sedan,images_yallamotor\hyundai_verna_2015_4028\img_1.jpeg; images_yallamotor\hyundai_verna_2015_4028\img_2.jpeg; images_yallamotor\hyundai_verna_2015_4028\img_3.jpeg; images_yallamotor\hyundai_verna_2015_4028\img_4.jpeg; images_yallamotor\hyundai_verna_2015_4028\img_5.jpeg,https://egypt.yallamotor.com/used-cars/hyundai/verna/2015/used-hyundai-verna-2015-giza-1545763
Used Hyundai Verna Manual 2015,Hyundai,Verna,"EGP 345,000",2015,Manual,"140,000 KM",Used,Manual,Petrol,"1,600",Silver,Ismailia,Sedan,images_yallamotor\hyundai_verna_2015_18337\img_1.jpg; images_yallamotor\hyundai_verna_2015_18337\img_2.jpeg; images_yallamotor\hyundai_verna_2015_18337\img_3.jpeg; images_yallamotor\hyundai_verna_2015_18337\img_4.jpeg; images_yallamotor\hyundai_verna_2015_18337\img_5.jpeg,https://egypt.yallamotor.com/used-cars/hyundai/verna/2015/used-hyundai-verna-2015-ismailia-1694245
Used Hyundai Verna 2017,Hyundai,Verna,"EGP 420,000",2017,Base/Standard,"171,000 KM",Used,-,Petrol,"1,600",Gray,Cairo,Sedan,images_yallamotor\hyundai_verna_2017_90764\img_1.jpg; images_yallamotor\hyundai_verna_2017_90764\img_2.jpg; images_yallamotor\hyundai_verna_2017_90764\img_3.jpg; images_yallamotor\hyundai_verna_2017_90764\img_4.jpg,https://egypt.yallamotor.com/used-cars/hyundai/verna/2017/used-hyundai-verna-2017-cairo-1761240
Used Hyundai Verna 1.6 GLS M/T Tinted Glass 2017,Hyundai,Verna,"EGP 450,000",2017,1.6 Gls M/T Tinted Glass,"130,000 KM",Used,Manual,Petrol,"1,599",Silver,Giza,Sedan,images_yallamotor\hyundai_verna_2017_4288\img_1.jpeg; images_yallamotor\hyundai_verna_2017_4288\img_2.jpeg; images_yallamotor\hyundai_verna_2017_4288\img_3.jpeg; images_yallamotor\hyundai_verna_2017_4288\img_4.jpeg,https://egypt.yallamotor.com/used-cars/hyundai/verna/2017/used-hyundai-verna-2017-giza-2061065
Used Hyundai Verna 2017,Hyundai,Verna,"EGP 450,000",2017,Base/Standard,"282,000 KM",Used,Manual,Petrol,"1,600",Silver,Menia,Sedan,images_yallamotor\hyundai_verna_2017_18263\img_1.jpg; images_yallamotor\hyundai_verna_2017_18263\img_2.jpg; images_yallamotor\hyundai_verna_2017_18263\img_3.jpg; images_yallamotor\hyundai_verna_2017_18263\img_4.jpg; images_yallamotor\hyundai_verna_2017_18263\img_5.jpg,https://egypt.yallamotor.com/used-cars/hyundai/verna/2017/used-hyundai-verna-2017-menia-1739663
Used Hyundai Verna Manual 2018,Hyundai,Verna,"EGP 450,000",2018,Manual,"166,000 KM",Used,Manual,Petrol,"1,600",Silver,Cairo,Sedan,images_yallamotor\hyundai_verna_2018_33245\img_1.jpg; images_yallamotor\hyundai_verna_2018_33245\img_2.jpg; images_yallamotor\hyundai_verna_2018_33245\img_3.jpg,https://egypt.yallamotor.com/used-cars/hyundai/verna/2018/used-hyundai-verna-2018-cairo-1527429
Used Hyundai Verna Manual 2019,Hyundai,Verna,"EGP 650,000",2019,Manual,"210,000 KM",Used,Manual,Petrol,"1,600",Bronze,Cairo,Sedan,images_yallamotor\hyundai_verna_2019_44749\img_1.jpg; images_yallamotor\hyundai_verna_2019_44749\img_2.jpg; images_yallamotor\hyundai_verna_2019_44749\img_3.jpg; images_yallamotor\hyundai_verna_2019_44749\img_4.jpg; images_yallamotor\hyundai_verna_2019_44749\img_5.jpg,https://egypt.yallamotor.com/used-cars/hyundai/verna/2019/used-hyundai-verna-2019-cairo-1747995
Used Isuzu D-MAX 2021,Isuzu,D-max,"EGP 1,050,000",2021,Base/Standard,"145,000 KM",Used,Automatic,Petrol,-,Gray,Cairo,SUV,images_yallamotor\isuzu_d-max_2021_97244\img_1.jpeg; images_yallamotor\isuzu_d-max_2021_97244\img_2.jpeg; images_yallamotor\isuzu_d-max_2021_97244\img_3.jpeg; images_yallamotor\isuzu_d-max_2021_97244\img_4.jpeg; images_yallamotor\isuzu_d-max_2021_97244\img_5.jpeg; images_yallamotor\isuzu_d-max_2021_97244\img_6.jpg; images_yallamotor\isuzu_d-max_2021_97244\img_7.jpg; images_yallamotor\isuzu_d-max_2021_97244\img_8.jpg,https://egypt.yallamotor.com/used-cars/isuzu/d-max/2021/used-isuzu-d-max-2021-cairo-1614533
Used Isuzu D-MAX 2022,Isuzu,D-max,"EGP 1,390,000",2022,Base/Standard,"40,000 KM",Used,-,Petrol,"1,600",White,Cairo,Sedan,images_yallamotor\isuzu_d-max_2022_16661\img_1.jpg; images_yallamotor\isuzu_d-max_2022_16661\img_2.jpg; images_yallamotor\isuzu_d-max_2022_16661\img_3.jpg; images_yallamotor\isuzu_d-max_2022_16661\img_4.jpg,https://egypt.yallamotor.com/used-cars/isuzu/d-max/2022/used-isuzu-d-max-2022-cairo-1764818
Used Isuzu D-MAX 2022,Isuzu,D-max,"EGP 1,360,000",2022,Base/Standard,"40,000 KM",Used,-,Petrol,"1,600",White,Cairo,SUV,images_yallamotor\isuzu_d-max_2022_29116\img_1.jpg; images_yallamotor\isuzu_d-max_2022_29116\img_2.jpg; images_yallamotor\isuzu_d-max_2022_29116\img_3.jpg,https://egypt.yallamotor.com/used-cars/isuzu/d-max/2022/used-isuzu-d-max-2022-cairo-1837685
Used Isuzu NPR 2011,Isuzu,Npr,"EGP 1,100,000",2011,Base/Standard,"250,000 KM",Used,Manual,-,"1,600",White,Mansoura,Pickup Truck,images_yallamotor\isuzu_npr_2011_40160\img_1.jpg; images_yallamotor\isuzu_npr_2011_40160\img_2.jpg; images_yallamotor\isuzu_npr_2011_40160\img_3.jpg; images_yallamotor\isuzu_npr_2011_40160\img_4.jpg,https://egypt.yallamotor.com/used-cars/isuzu/npr/2011/used-isuzu-npr-2011-mansoura-1674773
Used Isuzu NPR 2015,Isuzu,Npr,"EGP 850,000",2015,Base/Standard,"505,422 KM",Used,Manual,Diesel,-,Blue,Alexandria,Pickup Truck,images_yallamotor\isuzu_npr_2015_52458\img_1.jpg; images_yallamotor\isuzu_npr_2015_52458\img_2.jpg,https://egypt.yallamotor.com/used-cars/isuzu/npr/2015/used-isuzu-npr-2015-alexandria-1542484
Used IM Motors LS7 Luxury AWD 2025,Im-motors,Ls7,"EGP 840,000",2025,Im Motors Luxury Awd,400 KM,Used,Manual,Petrol,-,White,Giza,Other,images_yallamotor\im-motors_ls7_2025_96811\img_1.jpg; images_yallamotor\im-motors_ls7_2025_96811\img_2.jpg; images_yallamotor\im-motors_ls7_2025_96811\img_3.jpg; images_yallamotor\im-motors_ls7_2025_96811\img_4.jpg; images_yallamotor\im-motors_ls7_2025_96811\img_5.jpg,https://egypt.yallamotor.com/used-cars/im-motors/ls7/2025/used-im-motors-ls7-2025-giza-2051035
Used Isuzu D-MAX 1.9D Double Cab 4WD 2011,Isuzu,D-max,"EGP 700,000",2011,1.9D Double Cab 4Wd,"300,000 KM",Used,Manual,Diesel,"1,898",White,Cairo,Other,images_yallamotor\isuzu_d-max_2011_11235\img_1.jpg; images_yallamotor\isuzu_d-max_2011_11235\img_2.jpg; images_yallamotor\isuzu_d-max_2011_11235\img_3.jpg; images_yallamotor\isuzu_d-max_2011_11235\img_4.jpg; images_yallamotor\isuzu_d-max_2011_11235\img_5.jpg; images_yallamotor\isuzu_d-max_2011_11235\img_6.jpg,https://egypt.yallamotor.com/used-cars/isuzu/d-max/2011/used-isuzu-d-max-2011-cairo-1713081
Used Isuzu D-MAX 2015,Isuzu,D-max,"EGP 690,000",2015,Base/Standard,"218,000 KM",Used,-,Petrol,"1,600",Beige,Cairo,Sedan,images_yallamotor\isuzu_d-max_2015_26114\img_1.jpg; images_yallamotor\isuzu_d-max_2015_26114\img_2.jpg; images_yallamotor\isuzu_d-max_2015_26114\img_3.jpg; images_yallamotor\isuzu_d-max_2015_26114\img_4.jpg,https://egypt.yallamotor.com/used-cars/isuzu/d-max/2015/used-isuzu-d-max-2015-cairo-2062828
Used Isuzu D-MAX 2015,Isuzu,D-max,"EGP 740,000",2015,Base/Standard,"300,000 KM",Used,-,Petrol,"1,600",White,Cairo,Pickup Truck,images_yallamotor\isuzu_d-max_2015_37700\img_1.jpg; images_yallamotor\isuzu_d-max_2015_37700\img_2.jpg; images_yallamotor\isuzu_d-max_2015_37700\img_3.jpg; images_yallamotor\isuzu_d-max_2015_37700\img_4.jpg,https://egypt.yallamotor.com/used-cars/isuzu/d-max/2015/used-isuzu-d-max-2015-cairo-2080750
Used Isuzu D-MAX 2016,Isuzu,D-max,"EGP 950,000",2016,Base/Standard,"270,000 KM",Used,-,Petrol,"1,600",Red,Cairo,Pickup Truck,images_yallamotor\isuzu_d-max_2016_50492\img_1.jpg; images_yallamotor\isuzu_d-max_2016_50492\img_2.jpg; images_yallamotor\isuzu_d-max_2016_50492\img_3.jpg; images_yallamotor\isuzu_d-max_2016_50492\img_4.jpg,https://egypt.yallamotor.com/used-cars/isuzu/d-max/2016/used-isuzu-d-max-2016-cairo-1996107
Used Hyundai Verna 1.6 GLS M/T (Tinted Glass) 2016,Hyundai,Verna,"EGP 480,000",2016,1.6 Gls M/T (Tinted Glass),"41,000 KM",Used,Manual,Petrol,"1,599",Gray,Giza,Sedan,images_yallamotor\hyundai_verna_2016_82214\img_1.jpg; images_yallamotor\hyundai_verna_2016_82214\img_2.jpg; images_yallamotor\hyundai_verna_2016_82214\img_3.jpg; images_yallamotor\hyundai_verna_2016_82214\img_4.jpg; images_yallamotor\hyundai_verna_2016_82214\img_5.jpg; images_yallamotor\hyundai_verna_2016_82214\img_6.jpg; images_yallamotor\hyundai_verna_2016_82214\img_7.jpg; images_yallamotor\hyundai_verna_2016_82214\img_8.jpg; images_yallamotor\hyundai_verna_2016_82214\img_9.jpg,https://egypt.yallamotor.com/used-cars/hyundai/verna/2016/used-hyundai-verna-2016-giza-1721504
Used Hyundai Verna Automatic 2016,Hyundai,Verna,"EGP 450,000",2016,Automatic,"47,000 KM",Used,Automatic,Petrol,"1,600",Gray,Giza,Sedan,images_yallamotor\hyundai_verna_2016_4706\img_1.jpeg; images_yallamotor\hyundai_verna_2016_4706\img_2.jpeg; images_yallamotor\hyundai_verna_2016_4706\img_3.jpeg; images_yallamotor\hyundai_verna_2016_4706\img_4.jpeg; images_yallamotor\hyundai_verna_2016_4706\img_5.jpeg,https://egypt.yallamotor.com/used-cars/hyundai/verna/2016/used-hyundai-verna-2016-giza-2030450
Used Hyundai Verna 1.6 GLS A/T 2016,Hyundai,Verna,"EGP 380,000",2016,1.6 Gls A/T,"200,000 KM",Used,Manual,Petrol,"1,599",Silver,Ismailia,Sedan,images_yallamotor\hyundai_verna_2016_20053\img_1.jpg; images_yallamotor\hyundai_verna_2016_20053\img_2.jpg; images_yallamotor\hyundai_verna_2016_20053\img_3.jpg; images_yallamotor\hyundai_verna_2016_20053\img_4.jpg; images_yallamotor\hyundai_verna_2016_20053\img_5.jpg; images_yallamotor\hyundai_verna_2016_20053\img_6.jpg; images_yallamotor\hyundai_verna_2016_20053\img_7.jpg; images_yallamotor\hyundai_verna_2016_20053\img_8.jpg; images_yallamotor\hyundai_verna_2016_20053\img_9.jpg; images_yallamotor\hyundai_verna_2016_20053\img_10.jpg,https://egypt.yallamotor.com/used-cars/hyundai/verna/2016/used-hyundai-verna-2016-ismailia-1591634
429 Too Many Requests,Hyundai,Verna,N/A,2017,429 Too Many Requests,N/A,Used,N/A,N/A,N/A,N/A,N/A,N/A,,https://egypt.yallamotor.com/used-cars/hyundai/verna/2017/used-hyundai-verna-2017-cairo-1508219
429 Too Many Requests,Hyundai,Verna,N/A,2017,429 Too Many Requests,N/A,Used,N/A,N/A,N/A,N/A,N/A,N/A,,https://egypt.yallamotor.com/used-cars/hyundai/verna/2017/used-hyundai-verna-2017-cairo-1537013
Used JAC J7 Sportback 1.5T Ultimate 2021,Jac,J7-sportback,"EGP 1,000,000",2021,J7 Sportback 1.5T Ultimate,"15,000 KM",Used,CVT,Petrol,"1,500",Red,Alexandria,Sedan,images_yallamotor\jac_j7-sportback_2021_36270\img_1.jpg; images_yallamotor\jac_j7-sportback_2021_36270\img_2.jpg; images_yallamotor\jac_j7-sportback_2021_36270\img_3.jpg; images_yallamotor\jac_j7-sportback_2021_36270\img_4.jpg; images_yallamotor\jac_j7-sportback_2021_36270\img_5.jpg,https://egypt.yallamotor.com/used-cars/jac/j7-sportback/2021/used-jac-j7-sportback-2021-alexandria-1580758
Used JAC J7 Sportback 1.5T Ultimate 2022,Jac,J7-sportback,"EGP 900,000",2022,J7 Sportback 1.5T Ultimate,"55,000 KM",Used,Automatic,Petrol,"1,500",Red,Cairo,Sedan,images_yallamotor\jac_j7-sportback_2022_50987\img_1.jpg; images_yallamotor\jac_j7-sportback_2022_50987\img_2.jpg; images_yallamotor\jac_j7-sportback_2022_50987\img_3.jpg; images_yallamotor\jac_j7-sportback_2022_50987\img_4.jpg; images_yallamotor\jac_j7-sportback_2022_50987\img_5.jpg; images_yallamotor\jac_j7-sportback_2022_50987\img_6.jpg; images_yallamotor\jac_j7-sportback_2022_50987\img_7.jpg; images_yallamotor\jac_j7-sportback_2022_50987\img_8.jpg; images_yallamotor\jac_j7-sportback_2022_50987\img_9.jpg; images_yallamotor\jac_j7-sportback_2022_50987\img_10.jpg; images_yallamotor\jac_j7-sportback_2022_50987\img_11.jpg; images_yallamotor\jac_j7-sportback_2022_50987\img_12.jpg; images_yallamotor\jac_j7-sportback_2022_50987\img_13.jpg,https://egypt.yallamotor.com/used-cars/jac/j7-sportback/2022/used-jac-j7-sportback-2022-cairo-1566106
Used JAC J7 Sportback 1.5T Deluxe 2022,Jac,J7-sportback,"EGP 780,000",2022,J7 Sportback 1.5T Deluxe,"35,000 KM",Used,CVT,Petrol,"1,499",Red,Giza,Sedan,images_yallamotor\jac_j7-sportback_2022_81584\img_1.jpg; images_yallamotor\jac_j7-sportback_2022_81584\img_2.jpg; images_yallamotor\jac_j7-sportback_2022_81584\img_3.jpg; images_yallamotor\jac_j7-sportback_2022_81584\img_4.jpg; images_yallamotor\jac_j7-sportback_2022_81584\img_5.jpg,https://egypt.yallamotor.com/used-cars/jac/j7-sportback/2022/used-jac-j7-sportback-2022-giza-1505425
Used JAC J7 Sportback 2022,Jac,J7-sportback,"EGP 800,000",2022,J7 Sportback,"40,000 KM",Used,automatic,Petrol,"1,600",Black,Giza,Sedan,images_yallamotor\jac_j7-sportback_2022_97389\img_1.jpg; images_yallamotor\jac_j7-sportback_2022_97389\img_2.jpg; images_yallamotor\jac_j7-sportback_2022_97389\img_3.jpg; images_yallamotor\jac_j7-sportback_2022_97389\img_4.jpg; images_yallamotor\jac_j7-sportback_2022_97389\img_5.jpg,https://egypt.yallamotor.com/used-cars/jac/j7-sportback/2022/used-jac-j7-sportback-2022-giza-1600721
Used JAC J7 Sportback 2022,Jac,J7-sportback,"EGP 850,000",2022,J7 Sportback,"46,000 KM",Used,Automatic,Petrol,"1,500",Red,Giza,Sedan,images_yallamotor\jac_j7-sportback_2022_12061\img_1.jpg; images_yallamotor\jac_j7-sportback_2022_12061\img_2.jpg; images_yallamotor\jac_j7-sportback_2022_12061\img_3.jpg; images_yallamotor\jac_j7-sportback_2022_12061\img_4.jpg; images_yallamotor\jac_j7-sportback_2022_12061\img_5.jpg,https://egypt.yallamotor.com/used-cars/jac/j7-sportback/2022/used-jac-j7-sportback-2022-giza-1720865
Used JAC J7 Sportback 1.5T Ultimate 2022,Jac,J7-sportback,"EGP 720,000",2022,J7 Sportback 1.5T Ultimate,"21,000 KM",Used,Automatic,Petrol,"1,499",Black,Ismailia,Sedan,images_yallamotor\jac_j7-sportback_2022_61876\img_1.jpg; images_yallamotor\jac_j7-sportback_2022_61876\img_2.jpg; images_yallamotor\jac_j7-sportback_2022_61876\img_3.jpg; images_yallamotor\jac_j7-sportback_2022_61876\img_4.jpg; images_yallamotor\jac_j7-sportback_2022_61876\img_5.jpg,https://egypt.yallamotor.com/used-cars/jac/j7-sportback/2022/used-jac-j7-sportback-2022-ismailia-1473416
Used JAC J7 Sportback 1.5T Ultimate 2022,Jac,J7-sportback,"EGP 880,000",2022,J7 Sportback 1.5T Ultimate,"39,000 KM",Used,CVT,Petrol,"1,499",Red,Mansoura,Sedan,images_yallamotor\jac_j7-sportback_2022_78059\img_1.jpeg; images_yallamotor\jac_j7-sportback_2022_78059\img_2.jpeg,https://egypt.yallamotor.com/used-cars/jac/j7-sportback/2022/used-jac-j7-sportback-2022-mansoura-1601355
Used JAC JS3 1.6L Topline 2021,Jac,Js3,"EGP 800,000",2021,1.6L Topline,"35,000 KM",Used,Automatic,Petrol,"1,600",Red,Giza,SUV,images_yallamotor\jac_js3_2021_87917\img_1.jpg; images_yallamotor\jac_js3_2021_87917\img_2.jpg; images_yallamotor\jac_js3_2021_87917\img_3.jpg; images_yallamotor\jac_js3_2021_87917\img_4.jpg; images_yallamotor\jac_js3_2021_87917\img_5.jpg; images_yallamotor\jac_js3_2021_87917\img_6.jpg; images_yallamotor\jac_js3_2021_87917\img_7.jpg; images_yallamotor\jac_js3_2021_87917\img_8.jpg,https://egypt.yallamotor.com/used-cars/jac/js3/2021/used-jac-js3-2021-giza-1585289
Used JAC JS3 1.6L Topline 2022,Jac,Js3,"EGP 825,000",2022,1.6L Topline,23 KM,Used,CVT,Petrol,"1,600",White,6th of October City,SUV,images_yallamotor\jac_js3_2022_9748\img_1.jpg; images_yallamotor\jac_js3_2022_9748\img_2.jpg,https://egypt.yallamotor.com/used-cars/jac/js3/2022/used-jac-js3-2022-6th-of-october-city-1595396
Used JAC JS3 1.6L Smart 2022,Jac,Js3,"EGP 700,000",2022,1.6L Smart,"143,000 KM",Used,CVT,Petrol,"1,600",Red,Cairo,Hatchback,images_yallamotor\jac_js3_2022_18611\img_1.jpg; images_yallamotor\jac_js3_2022_18611\img_2.jpg; images_yallamotor\jac_js3_2022_18611\img_3.jpg; images_yallamotor\jac_js3_2022_18611\img_4.jpg; images_yallamotor\jac_js3_2022_18611\img_5.jpg,https://egypt.yallamotor.com/used-cars/jac/js3/2022/used-jac-js3-2022-cairo-1638926
Used JAC JS3 1.6L Topline 2022,Jac,Js3,"EGP 730,000",2022,1.6L Topline,"100,000 KM",Used,Automatic,Petrol,"1,600",Black,Delta,SUV,images_yallamotor\jac_js3_2022_66923\img_1.jpg; images_yallamotor\jac_js3_2022_66923\img_2.jpg; images_yallamotor\jac_js3_2022_66923\img_3.jpg; images_yallamotor\jac_js3_2022_66923\img_4.jpg; images_yallamotor\jac_js3_2022_66923\img_5.jpg,https://egypt.yallamotor.com/used-cars/jac/js3/2022/used-jac-js3-2022-delta-1742539
Used JAC JS3 1.6L Topline 2022,Jac,Js3,"EGP 880,000",2022,1.6L Topline,"35,000 KM",Used,Automatic,Petrol,"1,600",Gray,Ismailia,SUV,images_yallamotor\jac_js3_2022_79729\img_1.jpg; images_yallamotor\jac_js3_2022_79729\img_2.jpg; images_yallamotor\jac_js3_2022_79729\img_3.jpg; images_yallamotor\jac_js3_2022_79729\img_4.jpg; images_yallamotor\jac_js3_2022_79729\img_5.jpg,https://egypt.yallamotor.com/used-cars/jac/js3/2022/used-jac-js3-2022-ismailia-1613084
Used JAC JS3 1.6L Luxury 2023,Jac,Js3,"EGP 1,050,000",2023,1.6L Luxury,"16,000 KM",Used,Automatic,Petrol,"1,600",Gray,Alexandria,SUV,images_yallamotor\jac_js3_2023_94271\img_1.jpg; images_yallamotor\jac_js3_2023_94271\img_2.jpg; images_yallamotor\jac_js3_2023_94271\img_3.jpg; images_yallamotor\jac_js3_2023_94271\img_4.jpg; images_yallamotor\jac_js3_2023_94271\img_5.jpg; images_yallamotor\jac_js3_2023_94271\img_6.jpg,https://egypt.yallamotor.com/used-cars/jac/js3/2023/used-jac-js3-2023-alexandria-1657769
