Car Title,Brand,Model,Price,Year,Trim,Mileage,Condition,Transmission,Fuel Type,CC,Color,Location,Body Type,Image Paths,URL
Used Peugeot 2008 1.6L Allure 2022,Peugeot,2008,"EGP 1,300,000",2022,1.6L Allure,"20,000 KM",Used,Automatic,Petrol,"1,598",White,Giza,SUV,images_yallamotor\peugeot_2008_2022_28160\img_1.jpeg; images_yallamotor\peugeot_2008_2022_28160\img_2.jpeg; images_yallamotor\peugeot_2008_2022_28160\img_3.jpeg; images_yallamotor\peugeot_2008_2022_28160\img_4.jpeg; images_yallamotor\peugeot_2008_2022_28160\img_5.jpeg; images_yallamotor\peugeot_2008_2022_28160\img_6.jpeg; images_yallamotor\peugeot_2008_2022_28160\img_7.jpeg; images_yallamotor\peugeot_2008_2022_28160\img_8.jpeg; images_yallamotor\peugeot_2008_2022_28160\img_9.jpeg; images_yallamotor\peugeot_2008_2022_28160\img_10.jpeg,https://egypt.yallamotor.com/used-cars/peugeot/2008/2022/used-peugeot-2008-2022-giza-1491787
Used Peugeot 3008 2014,Peugeot,3008,"EGP 650,000",2014,Base/Standard,"95,000 KM",Used,-,Petrol,"1,600",Black,Cairo,Sedan,images_yallamotor\peugeot_3008_2014_759\img_1.jpg; images_yallamotor\peugeot_3008_2014_759\img_2.jpg; images_yallamotor\peugeot_3008_2014_759\img_3.jpg; images_yallamotor\peugeot_3008_2014_759\img_4.jpg,https://egypt.yallamotor.com/used-cars/peugeot/3008/2014/used-peugeot-3008-2014-cairo-2034074
Used Peugeot 3008 GT Line 2015,Peugeot,3008,"EGP 700,000",2015,Gt Line,"90,000 KM",Used,Automatic,Petrol,"1,600",White,Alexandria,SUV,images_yallamotor\peugeot_3008_2015_13059\img_1.jpeg; images_yallamotor\peugeot_3008_2015_13059\img_2.jpeg,https://egypt.yallamotor.com/used-cars/peugeot/3008/2015/used-peugeot-3008-2015-alexandria-1516145
Used Peugeot 3008 GT Line 2015,Peugeot,3008,"EGP 1,100,000",2015,Gt Line,"60,000 KM",Used,Automatic,Petrol,"1,600",Silver,Alexandria,SUV,images_yallamotor\peugeot_3008_2015_23358\img_1.jpg; images_yallamotor\peugeot_3008_2015_23358\img_2.jpg; images_yallamotor\peugeot_3008_2015_23358\img_3.jpg; images_yallamotor\peugeot_3008_2015_23358\img_4.jpg; images_yallamotor\peugeot_3008_2015_23358\img_5.jpg; images_yallamotor\peugeot_3008_2015_23358\img_6.jpg; images_yallamotor\peugeot_3008_2015_23358\img_7.jpg; images_yallamotor\peugeot_3008_2015_23358\img_8.jpg; images_yallamotor\peugeot_3008_2015_23358\img_9.jpg,https://egypt.yallamotor.com/used-cars/peugeot/3008/2015/used-peugeot-3008-2015-alexandria-1743181
Used Peugeot 3008 2015,Peugeot,3008,"EGP 740,000",2015,Base/Standard,"80,000 KM",Used,-,Petrol,"1,600",Gray,Cairo,Sedan,images_yallamotor\peugeot_3008_2015_46828\img_1.jpg; images_yallamotor\peugeot_3008_2015_46828\img_2.jpg; images_yallamotor\peugeot_3008_2015_46828\img_3.jpg; images_yallamotor\peugeot_3008_2015_46828\img_4.jpg,https://egypt.yallamotor.com/used-cars/peugeot/3008/2015/used-peugeot-3008-2015-cairo-2053955
Used Peugeot 3008 2015,Peugeot,3008,"EGP 620,000",2015,Base/Standard,"120,000 KM",Used,-,Petrol,"1,600",Blue,Cairo,Sedan,images_yallamotor\peugeot_3008_2015_59050\img_1.jpg; images_yallamotor\peugeot_3008_2015_59050\img_2.jpg; images_yallamotor\peugeot_3008_2015_59050\img_3.jpg; images_yallamotor\peugeot_3008_2015_59050\img_4.jpg,https://egypt.yallamotor.com/used-cars/peugeot/3008/2015/used-peugeot-3008-2015-cairo-2069576
Used Peugeot 206 CC 1985,Peugeot,206-cc,"EGP 80,000",1985,206 Cc,"200,000 KM",Used,Manual,Petrol,"1,300",White,6th of October City,Sedan,images_yallamotor\peugeot_206-cc_1985_81787\img_1.jpg; images_yallamotor\peugeot_206-cc_1985_81787\img_2.jpg; images_yallamotor\peugeot_206-cc_1985_81787\img_3.jpg; images_yallamotor\peugeot_206-cc_1985_81787\img_4.jpg; images_yallamotor\peugeot_206-cc_1985_81787\img_5.jpg; images_yallamotor\peugeot_206-cc_1985_81787\img_6.jpg; images_yallamotor\peugeot_206-cc_1985_81787\img_7.jpg; images_yallamotor\peugeot_206-cc_1985_81787\img_8.jpg; images_yallamotor\peugeot_206-cc_1985_81787\img_9.jpg; images_yallamotor\peugeot_206-cc_1985_81787\img_10.jpg; images_yallamotor\peugeot_206-cc_1985_81787\img_11.jpg; images_yallamotor\peugeot_206-cc_1985_81787\img_12.jpg; images_yallamotor\peugeot_206-cc_1985_81787\img_13.jpg; images_yallamotor\peugeot_206-cc_1985_81787\img_14.jpg; images_yallamotor\peugeot_206-cc_1985_81787\img_15.jpg; images_yallamotor\peugeot_206-cc_1985_81787\img_16.jpg; images_yallamotor\peugeot_206-cc_1985_81787\img_17.jpg; images_yallamotor\peugeot_206-cc_1985_81787\img_18.jpg; images_yallamotor\peugeot_206-cc_1985_81787\img_19.jpg; images_yallamotor\peugeot_206-cc_1985_81787\img_20.jpg,https://egypt.yallamotor.com/used-cars/peugeot/206-cc/1985/used-peugeot-206-cc-1985-6th-of-october-city-2030173
Used Peugeot 207 Sportium 2008,Peugeot,207,"EGP 425,000",2008,Sportium,"100,000 KM",Used,Automatic,Petrol,"1,600",Black,Cairo,Hatchback,images_yallamotor\peugeot_207_2008_22502\img_1.jpg; images_yallamotor\peugeot_207_2008_22502\img_2.jpg; images_yallamotor\peugeot_207_2008_22502\img_3.jpg; images_yallamotor\peugeot_207_2008_22502\img_4.jpg; images_yallamotor\peugeot_207_2008_22502\img_5.jpg; images_yallamotor\peugeot_207_2008_22502\img_6.jpg,https://egypt.yallamotor.com/used-cars/peugeot/207/2008/used-peugeot-207-2008-cairo-1723186
Used Peugeot 208 1.6L GT Line 2015,Peugeot,208,"EGP 490,000",2015,1.6L Gt Line,"180,000 KM",Used,Automatic,Petrol,"1,598",Tan,Suez,Hatchback,images_yallamotor\peugeot_208_2015_38512\img_1.jpg; images_yallamotor\peugeot_208_2015_38512\img_2.jpg; images_yallamotor\peugeot_208_2015_38512\img_3.jpg; images_yallamotor\peugeot_208_2015_38512\img_4.jpg; images_yallamotor\peugeot_208_2015_38512\img_5.jpg,https://egypt.yallamotor.com/used-cars/peugeot/208/2015/used-peugeot-208-2015-suez-1528531
Used Peugeot 3008 1.6T Active 2014,Peugeot,3008,"EGP 650,000",2014,1.6T Active,"135,000 KM",Used,Automatic,Petrol,"1,598",Other,Cairo,Hatchback,images_yallamotor\peugeot_3008_2014_53258\img_1.jpeg; images_yallamotor\peugeot_3008_2014_53258\img_2.jpeg; images_yallamotor\peugeot_3008_2014_53258\img_3.jpeg; images_yallamotor\peugeot_3008_2014_53258\img_4.jpeg; images_yallamotor\peugeot_3008_2014_53258\img_5.jpeg,https://egypt.yallamotor.com/used-cars/peugeot/3008/2014/used-peugeot-3008-2014-cairo-1740658
Used Peugeot 3008 1.6T GT 2014,Peugeot,3008,"EGP 630,000",2014,1.6T Gt,"136,000 KM",Used,Automatic,Petrol,"1,600",Other,Cairo,Hatchback,images_yallamotor\peugeot_3008_2014_69984\img_1.jpeg; images_yallamotor\peugeot_3008_2014_69984\img_2.jpeg; images_yallamotor\peugeot_3008_2014_69984\img_3.jpeg; images_yallamotor\peugeot_3008_2014_69984\img_4.jpeg; images_yallamotor\peugeot_3008_2014_69984\img_5.jpeg; images_yallamotor\peugeot_3008_2014_69984\img_6.jpeg; images_yallamotor\peugeot_3008_2014_69984\img_7.jpeg,https://egypt.yallamotor.com/used-cars/peugeot/3008/2014/used-peugeot-3008-2014-cairo-1743038
Used Peugeot 3008 1.6T GT Line 2019,Peugeot,3008,"EGP 1,333,000",2019,1.6T Gt Line,"70,000 KM",Used,Automatic,Petrol,"1,598",Black,Cairo,SUV,images_yallamotor\peugeot_3008_2019_47488\img_1.jpg,https://egypt.yallamotor.com/used-cars/peugeot/3008/2019/used-peugeot-3008-2019-cairo-1500008
Used Peugeot 3008 2019,Peugeot,3008,"EGP 1,380,000",2019,Base/Standard,"110,000 KM",Used,automatic,Petrol,"1,600",Black,Cairo,SUV,images_yallamotor\peugeot_3008_2019_56253\img_1.jpg; images_yallamotor\peugeot_3008_2019_56253\img_2.jpg; images_yallamotor\peugeot_3008_2019_56253\img_3.jpg; images_yallamotor\peugeot_3008_2019_56253\img_4.jpg; images_yallamotor\peugeot_3008_2019_56253\img_5.jpg,https://egypt.yallamotor.com/used-cars/peugeot/3008/2019/used-peugeot-3008-2019-cairo-1550679
Used Peugeot 3008 1.6T Allure 2019,Peugeot,3008,"EGP 1,050,000",2019,1.6T Allure,"210,000 KM",Used,Automatic,Petrol,"1,598",Black,Cairo,SUV,images_yallamotor\peugeot_3008_2019_71675\img_1.jpg; images_yallamotor\peugeot_3008_2019_71675\img_2.jpg; images_yallamotor\peugeot_3008_2019_71675\img_3.jpg,https://egypt.yallamotor.com/used-cars/peugeot/3008/2019/used-peugeot-3008-2019-cairo-2047744
429 Too Many Requests,Peugeot,3008,N/A,2019,429 Too Many Requests,N/A,Used,N/A,N/A,N/A,N/A,N/A,N/A,,https://egypt.yallamotor.com/used-cars/peugeot/3008/2019/used-peugeot-3008-2019-nasr-city-1734335
Used Peugeot 3008 1.6T GT Line 2020,Peugeot,3008,"EGP 1,550,000",2020,1.6T Gt Line,"94,000 KM",Used,Automatic,Petrol,"1,598",Gray,6th of October City,SUV,images_yallamotor\peugeot_3008_2020_96041\img_1.jpeg; images_yallamotor\peugeot_3008_2020_96041\img_2.jpeg; images_yallamotor\peugeot_3008_2020_96041\img_3.jpeg; images_yallamotor\peugeot_3008_2020_96041\img_4.jpeg; images_yallamotor\peugeot_3008_2020_96041\img_5.jpeg; images_yallamotor\peugeot_3008_2020_96041\img_6.jpeg; images_yallamotor\peugeot_3008_2020_96041\img_7.jpeg; images_yallamotor\peugeot_3008_2020_96041\img_8.jpeg; images_yallamotor\peugeot_3008_2020_96041\img_9.jpeg; images_yallamotor\peugeot_3008_2020_96041\img_10.jpeg,https://egypt.yallamotor.com/used-cars/peugeot/3008/2020/used-peugeot-3008-2020-6th-of-october-city-1539127
