Brand,Model,Price,Year,Trim,Transmission,Fuel Type,Body Type,Engine Capacity,Speeds,Horsepower,Fuel,Consumption,Width,Length,Height,Wheel Base,Seats,Number of Cylinders,Fuel Tank Capacity,Torque,Acceleration,Image Paths
Alpha Romeo,Stelvio,3650000,2026,Veloce,automatic,gas,SUV,2000.0,8.0,280.0,95.0,7.0,"1,903","4,693","1,684",2818.0,5.0,4.0,64.0,400.0,6.7,images\Alpha_Romeo_Stelvio_Veloce_54156\img_1.jpg; images\Alpha_Romeo_Stelvio_Veloce_54156\img_2.jpg; images\Alpha_Romeo_Stelvio_Veloce_54156\img_3.jpg; images\Alpha_Romeo_Stelvio_Veloce_54156\img_4.jpg; images\Alpha_Romeo_Stelvio_Veloce_54156\img_5.jpg; images\Alpha_Romeo_Stelvio_Veloce_54156\img_6.jpg; images\Alpha_Romeo_Stelvio_Veloce_54156\img_7.jpg; images\Alpha_Romeo_Stelvio_Veloce_54156\img_8.jpg
Alpha Romeo,Tonale,2690000,2024,TI,automatic,gas,SUV,2000.0,9.0,256.0,95.0,N/A,"2,082","4,528","1,693",2636.0,5.0,4.0,55.0,400.0,8.1,images\Alpha_Romeo_Tonale_TI_59619\img_1.png; images\Alpha_Romeo_Tonale_TI_59619\img_2.jpg; images\Alpha_Romeo_Tonale_TI_59619\img_3.jpg; images\Alpha_Romeo_Tonale_TI_59619\img_4.jpg; images\Alpha_Romeo_Tonale_TI_59619\img_5.jpg; images\Alpha_Romeo_Tonale_TI_59619\img_6.jpg; images\Alpha_Romeo_Tonale_TI_59619\img_7.png; images\Alpha_Romeo_Tonale_TI_59619\img_8.jpg; images\Alpha_Romeo_Tonale_TI_59619\img_9.png
Alpha Romeo,Tonale,2950000,2024,Veloce,automatic,gas,SUV,2000.0,9.0,256.0,95.0,N/A,"2,082","4,528","1,693",2636.0,5.0,4.0,55.0,400.0,8.1,images\Alpha_Romeo_Tonale_Veloce_65786\img_1.jpg; images\Alpha_Romeo_Tonale_Veloce_65786\img_2.jpg; images\Alpha_Romeo_Tonale_Veloce_65786\img_3.jpg; images\Alpha_Romeo_Tonale_Veloce_65786\img_4.jpg; images\Alpha_Romeo_Tonale_Veloce_65786\img_5.png; images\Alpha_Romeo_Tonale_Veloce_65786\img_6.png; images\Alpha_Romeo_Tonale_Veloce_65786\img_7.png; images\Alpha_Romeo_Tonale_Veloce_65786\img_8.jpg; images\Alpha_Romeo_Tonale_Veloce_65786\img_9.jpg
Alpha Romeo,Tonale,2625000,2025,sprint,automatic,gas,SUV,2000.0,9.0,256.0,95.0,N/A,"2,082","4,528","1,693",2636.0,5.0,4.0,55.0,400.0,8.1,images\Alpha_Romeo_Tonale_sprint_69482\img_1.png; images\Alpha_Romeo_Tonale_sprint_69482\img_2.jpg; images\Alpha_Romeo_Tonale_sprint_69482\img_3.png; images\Alpha_Romeo_Tonale_sprint_69482\img_4.png
Alpha Romeo,Tonale,2825000,2025,Veloce,automatic,gas,SUV,2000.0,9.0,256.0,95.0,N/A,"2,082","4,528","1,693",2636.0,5.0,4.0,55.0,400.0,8.1,images\Alpha_Romeo_Tonale_Veloce_72216\img_1.png; images\Alpha_Romeo_Tonale_Veloce_72216\img_2.png; images\Alpha_Romeo_Tonale_Veloce_72216\img_3.png; images\Alpha_Romeo_Tonale_Veloce_72216\img_4.jpg
Arcfox,Alpha S5,1499900,2026,Air,automatic,Electric,Sedan,N/A,N/A,268.0,N/A,N/A,"1,930","4,820","1,480",2900.0,5.0,N/A,N/A,360.0,N/A,images\Arcfox_Alpha_S5_Air_74861\img_1.jpg; images\Arcfox_Alpha_S5_Air_74861\img_2.png; images\Arcfox_Alpha_S5_Air_74861\img_3.jpg; images\Arcfox_Alpha_S5_Air_74861\img_4.jpg; images\Arcfox_Alpha_S5_Air_74861\img_5.jpg; images\Arcfox_Alpha_S5_Air_74861\img_6.jpg; images\Arcfox_Alpha_S5_Air_74861\img_7.jpg; images\Arcfox_Alpha_S5_Air_74861\img_8.jpg; images\Arcfox_Alpha_S5_Air_74861\img_9.jpg
Arcfox,Alpha S5,1649900,2026,Pro,automatic,Electric,Sedan,N/A,N/A,523.0,N/A,N/A,"1,930","4,820","1,480",2900.0,5.0,N/A,N/A,N/A,N/A,images\Arcfox_Alpha_S5_Pro_78536\img_1.jpg; images\Arcfox_Alpha_S5_Pro_78536\img_2.jpg; images\Arcfox_Alpha_S5_Pro_78536\img_3.png; images\Arcfox_Alpha_S5_Pro_78536\img_4.jpg; images\Arcfox_Alpha_S5_Pro_78536\img_5.jpg; images\Arcfox_Alpha_S5_Pro_78536\img_6.jpg; images\Arcfox_Alpha_S5_Pro_78536\img_7.jpg; images\Arcfox_Alpha_S5_Pro_78536\img_8.jpg; images\Arcfox_Alpha_S5_Pro_78536\img_9.jpg
Arcfox,Alpha T5,1599900,2026,Air,automatic,Electric,SUV,N/A,N/A,248.0,N/A,N/A,"1,936","4,690","1,650",2845.0,5.0,N/A,N/A,360.0,N/A,images\Arcfox_Alpha_T5_Air_82449\img_1.jpg; images\Arcfox_Alpha_T5_Air_82449\img_2.jpg; images\Arcfox_Alpha_T5_Air_82449\img_3.jpg; images\Arcfox_Alpha_T5_Air_82449\img_4.jpg; images\Arcfox_Alpha_T5_Air_82449\img_5.jpg; images\Arcfox_Alpha_T5_Air_82449\img_6.jpg; images\Arcfox_Alpha_T5_Air_82449\img_7.jpg; images\Arcfox_Alpha_T5_Air_82449\img_8.png; images\Arcfox_Alpha_T5_Air_82449\img_9.jpg
Arcfox,Alpha T5,1749900,2026,Pro,automatic,Electric,SUV,N/A,N/A,268.0,N/A,N/A,"1,936","4,690","1,650",2845.0,5.0,N/A,N/A,360.0,N/A,images\Arcfox_Alpha_T5_Pro_69470\img_1.jpg; images\Arcfox_Alpha_T5_Pro_69470\img_2.png; images\Arcfox_Alpha_T5_Pro_69470\img_3.jpg; images\Arcfox_Alpha_T5_Pro_69470\img_4.jpg; images\Arcfox_Alpha_T5_Pro_69470\img_5.jpg; images\Arcfox_Alpha_T5_Pro_69470\img_6.jpg; images\Arcfox_Alpha_T5_Pro_69470\img_7.jpg; images\Arcfox_Alpha_T5_Pro_69470\img_8.jpg; images\Arcfox_Alpha_T5_Pro_69470\img_9.jpg
Arcfox,Kaola S,1124900,2026,Air,automatic,Electric,MiniVans,N/A,N/A,161.0,N/A,N/A,"1,870","4,500","1,655",2820.0,5.0,N/A,N/A,240.0,11.0,images\Arcfox_Kaola_S_Air_73813\img_1.jpg; images\Arcfox_Kaola_S_Air_73813\img_2.jpg; images\Arcfox_Kaola_S_Air_73813\img_3.jpg; images\Arcfox_Kaola_S_Air_73813\img_4.jpg; images\Arcfox_Kaola_S_Air_73813\img_5.jpg; images\Arcfox_Kaola_S_Air_73813\img_6.jpg; images\Arcfox_Kaola_S_Air_73813\img_7.jpg; images\Arcfox_Kaola_S_Air_73813\img_8.jpg
