Brand,Model,Trim,Year,Price,Mileage,Color,Fuel Type,Body Shape,Transmission,Engine Capacity,Cylinder Count,Image Paths
Audi,A6,2.0 Tfsi (245 Hp),2020,"3,500,000","20,000 KM",Burgundy,Petrol,,Automatic,"2,000",,images_yallamotor\audi_a6_2020_94555\img_1.jpeg; images_yallamotor\audi_a6_2020_94555\img_2.jpeg; images_yallamotor\audi_a6_2020_94555\img_3.jpeg; images_yallamotor\audi_a6_2020_94555\img_4.jpeg; images_yallamotor\audi_a6_2020_94555\img_5.jpeg
Audi,Q2,35 Tfsi Sport S-Line 150 Hp,2019,"1,600,000","95,000 KM",White,Petrol,,Automatic,"1,395",,images_yallamotor\audi_q2_2019_12631\img_1.jpeg; images_yallamotor\audi_q2_2019_12631\img_2.jpeg; images_yallamotor\audi_q2_2019_12631\img_3.jpeg
Audi,Q3-sportback,Q3 Sportback 40 Tfsi S-Line (180 Hp),2025,"2,400,000","6,000 KM",Black,Petrol,,Automatic,"1,400",,images_yallamotor\audi_q3-sportback_2025_26670\img_1.jpg; images_yallamotor\audi_q3-sportback_2025_26670\img_2.jpg; images_yallamotor\audi_q3-sportback_2025_26670\img_3.jpg; images_yallamotor\audi_q3-sportback_2025_26670\img_4.jpg; images_yallamotor\audi_q3-sportback_2025_26670\img_5.jpg
Audi,Q3,35 Tfsi (150 Hp),2021,"2,250,000","97,022 KM",Red,Petrol,,Automatic,"2,000",,images_yallamotor\audi_q3_2021_68247\img_1.jpeg; images_yallamotor\audi_q3_2021_68247\img_2.jpeg; images_yallamotor\audi_q3_2021_68247\img_3.jpeg; images_yallamotor\audi_q3_2021_68247\img_4.jpeg; images_yallamotor\audi_q3_2021_68247\img_5.jpeg; images_yallamotor\audi_q3_2021_68247\img_6.jpeg; images_yallamotor\audi_q3_2021_68247\img_7.jpeg; images_yallamotor\audi_q3_2021_68247\img_8.jpeg; images_yallamotor\audi_q3_2021_68247\img_9.jpeg; images_yallamotor\audi_q3_2021_68247\img_10.jpeg
Audi,Q7,Base/Standard,2011,"1,900,000","65,000 KM",White,Petrol,,Automatic,-,,images_yallamotor\audi_q7_2011_88846\img_1.jpeg; images_yallamotor\audi_q7_2011_88846\img_2.jpeg; images_yallamotor\audi_q7_2011_88846\img_3.jpeg; images_yallamotor\audi_q7_2011_88846\img_4.jpeg; images_yallamotor\audi_q7_2011_88846\img_5.jpeg; images_yallamotor\audi_q7_2011_88846\img_6.jpeg; images_yallamotor\audi_q7_2011_88846\img_7.jpeg
Audi,Q7,Base/Standard,2017,"1,500,000","150,000 KM",Tan,Petrol,,Automatic,-,,images_yallamotor\audi_q7_2017_8425\img_1.jpg
Audi,Q7,45 Tfsi S-Line Quattro 252 Hp,2019,"3,150,000","55,000 KM",Other,Petrol,,Automatic,"1,984",,images_yallamotor\audi_q7_2019_16239\img_1.jpg; images_yallamotor\audi_q7_2019_16239\img_2.jpg; images_yallamotor\audi_q7_2019_16239\img_3.jpg; images_yallamotor\audi_q7_2019_16239\img_4.jpg; images_yallamotor\audi_q7_2019_16239\img_5.jpg
Audi,A4,Base/Standard,2023,"2,375,000","4,000 KM",Gray,Petrol,,-,"1,600",,images_yallamotor\audi_a4_2023_45613\img_1.jpg; images_yallamotor\audi_a4_2023_45613\img_2.jpg; images_yallamotor\audi_a4_2023_45613\img_3.jpg; images_yallamotor\audi_a4_2023_45613\img_4.jpg
Audi,A4,Base/Standard,2024,"2,890,000","2,000 KM",Black,Petrol,,-,"1,600",,images_yallamotor\audi_a4_2024_64627\img_1.jpg; images_yallamotor\audi_a4_2024_64627\img_2.jpg; images_yallamotor\audi_a4_2024_64627\img_3.jpg; images_yallamotor\audi_a4_2024_64627\img_4.jpg
Audi,A5-convertible,A5 Convertible,2011,"1,500,000","138,000 KM",White,Petrol,,Automatic,"2,000",,images_yallamotor\audi_a5-convertible_2011_81689\img_1.jpg; images_yallamotor\audi_a5-convertible_2011_81689\img_2.jpg; images_yallamotor\audi_a5-convertible_2011_81689\img_3.jpg; images_yallamotor\audi_a5-convertible_2011_81689\img_4.jpg; images_yallamotor\audi_a5-convertible_2011_81689\img_5.jpg; images_yallamotor\audi_a5-convertible_2011_81689\img_6.jpg; images_yallamotor\audi_a5-convertible_2011_81689\img_7.jpg; images_yallamotor\audi_a5-convertible_2011_81689\img_8.jpg
Audi,A5-sedan,A5 Sedan,2018,"1,000,000","14,500 KM",Silver,Petrol,,Automatic,"1,600",,images_yallamotor\audi_a5-sedan_2018_5777\img_1.jpg; images_yallamotor\audi_a5-sedan_2018_5777\img_2.jpg; images_yallamotor\audi_a5-sedan_2018_5777\img_3.jpg
