Brand,Model,Trim,Year,Price,Mileage,Color,Fuel Type,Body Shape,Transmission,Engine Capacity,Cylinder Count,Image Paths
Seat,Ibiza,Unspecified trim,1992.0,95000,"999,999
KM",Blue,Gas,Hatchback,Manual,1500,4,images\Seat Ibiza 1992\car_img_1.jpg; images\Seat Ibiza 1992\car_img_2.jpg; images\Seat Ibiza 1992\car_img_3.jpg; images\Seat Ibiza 1992\car_img_4.jpg; images\Seat Ibiza 1992\car_img_5.jpg; images\Seat Ibiza 1992\car_img_6.jpg; images\Seat Ibiza 1992\car_img_7.jpg
Seat,Ibiza,1.6L FR Beats,2020.0,930000,"154,000
KM",Blue,Gas,Hatchback,Automatic,1600,4,images\Seat Ibiza 2020\car_img_1.jpg; images\Seat Ibiza 2020\car_img_2.jpg; images\Seat Ibiza 2020\car_img_3.jpg; images\Seat Ibiza 2020\car_img_4.jpg; images\Seat Ibiza 2020\car_img_5.jpg; images\Seat Ibiza 2020\car_img_6.jpg; images\Seat Ibiza 2020\car_img_7.jpg; images\Seat Ibiza 2020\car_img_8.jpg; images\Seat Ibiza 2020\car_img_9.jpg; images\Seat Ibiza 2020\car_img_10.jpg; images\Seat Ibiza 2020\car_img_11.jpg; images\Seat Ibiza 2020\car_img_12.jpg
Seat,Ibiza,Unspecified trim,2023.0,1095000,"80,000
KM",White,Gas,Hatchback,Automatic,1600,4,images\Seat Ibiza 2023\car_img_1.jpg; images\Seat Ibiza 2023\car_img_2.jpg; images\Seat Ibiza 2023\car_img_3.jpg; images\Seat Ibiza 2023\car_img_4.jpg; images\Seat Ibiza 2023\car_img_5.jpg
Seat,Ibiza,1.6 A/T H/B,2015.0,495000,"196,000
KM",Blue,Gas,Hatchback,Automatic,1600,4,images\Seat Ibiza 2015\car_img_1.jpg; images\Seat Ibiza 2015\car_img_2.jpg; images\Seat Ibiza 2015\car_img_3.jpg; images\Seat Ibiza 2015\car_img_4.jpg; images\Seat Ibiza 2015\car_img_5.jpg; images\Seat Ibiza 2015\car_img_6.jpg; images\Seat Ibiza 2015\car_img_7.jpg; images\Seat Ibiza 2015\car_img_8.jpg; images\Seat Ibiza 2015\car_img_9.jpg
Seat,Ibiza,1.6 A/T Reference,2021.0,850000,"83,000
KM",Silver,Gas,Hatchback,Automatic,1600,4,images\Seat Ibiza 2021\car_img_1.jpg; images\Seat Ibiza 2021\car_img_2.jpg; images\Seat Ibiza 2021\car_img_3.jpg; images\Seat Ibiza 2021\car_img_4.jpg; images\Seat Ibiza 2021\car_img_5.jpg; images\Seat Ibiza 2021\car_img_6.jpg; images\Seat Ibiza 2021\car_img_7.jpg; images\Seat Ibiza 2021\car_img_8.jpg; images\Seat Ibiza 2021\car_img_9.jpg; images\Seat Ibiza 2021\car_img_10.jpg
Seat,Ibiza,1.6 A/T Reference,2021.0,870000,"56,000
KM",Gray,Gas,Hatchback,Automatic,1600,4,images\Seat Ibiza 2021\car_img_1.jpg; images\Seat Ibiza 2021\car_img_2.jpg; images\Seat Ibiza 2021\car_img_3.jpg; images\Seat Ibiza 2021\car_img_4.jpg; images\Seat Ibiza 2021\car_img_5.jpg; images\Seat Ibiza 2021\car_img_6.jpg; images\Seat Ibiza 2021\car_img_7.jpg; images\Seat Ibiza 2021\car_img_8.jpg; images\Seat Ibiza 2021\car_img_9.jpg; images\Seat Ibiza 2021\car_img_10.jpg; images\Seat Ibiza 2021\car_img_11.jpg; images\Seat Ibiza 2021\car_img_12.jpg
Seat,Ibiza,Unspecified trim,2021.0,870000,"50,000
KM",Dark Grey,Gas,Hatchback,Automatic,1600,4,images\Seat Ibiza 2021\car_img_1.jpg; images\Seat Ibiza 2021\car_img_2.jpg; images\Seat Ibiza 2021\car_img_3.jpg; images\Seat Ibiza 2021\car_img_4.jpg; images\Seat Ibiza 2021\car_img_5.jpg; images\Seat Ibiza 2021\car_img_6.jpg; images\Seat Ibiza 2021\car_img_7.jpg; images\Seat Ibiza 2021\car_img_8.jpg; images\Seat Ibiza 2021\car_img_9.jpg; images\Seat Ibiza 2021\car_img_10.jpg; images\Seat Ibiza 2021\car_img_11.jpg; images\Seat Ibiza 2021\car_img_12.jpg; images\Seat Ibiza 2021\car_img_13.jpg; images\Seat Ibiza 2021\car_img_14.jpg; images\Seat Ibiza 2021\car_img_15.jpg
Seat,Ibiza,1.6L FR,2020.0,870000,"83,000
KM",White,Gas,Hatchback,Automatic,1600,4,images\Seat Ibiza 2020\car_img_1.jpg
Seat,Ibiza,Unspecified trim,2013.0,620000,"172,000
KM",Bronze,Gas,Hatchback,Automatic,1600,4,images\Seat Ibiza 2013\car_img_1.jpg; images\Seat Ibiza 2013\car_img_2.jpg; images\Seat Ibiza 2013\car_img_3.jpg; images\Seat Ibiza 2013\car_img_4.jpg; images\Seat Ibiza 2013\car_img_5.jpg; images\Seat Ibiza 2013\car_img_6.jpg; images\Seat Ibiza 2013\car_img_7.jpg; images\Seat Ibiza 2013\car_img_8.jpg; images\Seat Ibiza 2013\car_img_9.jpg
Seat,Ibiza,1.6 A/T REF,2015.0,545000,"154,000
KM",Gray,Gas,Hatchback,Automatic,1600,4,images\Seat Ibiza 2015\car_img_1.jpg; images\Seat Ibiza 2015\car_img_2.jpg; images\Seat Ibiza 2015\car_img_3.jpg; images\Seat Ibiza 2015\car_img_4.jpg; images\Seat Ibiza 2015\car_img_5.jpg; images\Seat Ibiza 2015\car_img_6.jpg; images\Seat Ibiza 2015\car_img_7.jpg; images\Seat Ibiza 2015\car_img_8.jpg; images\Seat Ibiza 2015\car_img_9.jpg; images\Seat Ibiza 2015\car_img_10.jpg; images\Seat Ibiza 2015\car_img_11.jpg; images\Seat Ibiza 2015\car_img_12.jpg
