Car Title,Brand,Model,Price,Year,Trim,Transmission,Fuel Type,Body Type,Power,Speeds,Horsepower,Fuel,Consumption,Width,Length,Height,Wheel Base,Seats,Number of Cylinders,Fuel Tank Capacity,Torque,Acceleration,Image Paths,URL
Genesis GV 60 2026 A/T / Performance New Cash or Installment,Genesis,Gv+60,"4,950,000 EGP",2026,Performance,automatic,Electric,SUV,N/A,N/A,483,N/A,N/A,"1,890","4,545","1,580",2900,5,N/A,N/A,700,4,images\Genesis_Gv+60_Performance_42737\img_1.jpg; images\Genesis_Gv+60_Performance_42737\img_2.jpg; images\Genesis_Gv+60_Performance_42737\img_3.jpg; images\Genesis_Gv+60_Performance_42737\img_4.jpg; images\Genesis_Gv+60_Performance_42737\img_5.jpg; images\Genesis_Gv+60_Performance_42737\img_6.jpg; images\Genesis_Gv+60_Performance_42737\img_7.jpg; images\Genesis_Gv+60_Performance_42737\img_8.jpg; images\Genesis_Gv+60_Performance_42737\img_9.png,https://eg.hatla2ee.com/en/new-car/Genesis/GV+60/50798
Genesis GV70 2026 A/T / Dynamic New Cash or Installment,Genesis,Gv70,"4,500,000 EGP",2026,Dynamic,automatic,Electric,SUV,N/A,N/A,489,N/A,N/A,"1,910","4,715","1,630",2875,5,N/A,N/A,700,4.4,images\Genesis_Gv70_Dynamic_50692\img_1.jpg; images\Genesis_Gv70_Dynamic_50692\img_2.jpg; images\Genesis_Gv70_Dynamic_50692\img_3.jpg; images\Genesis_Gv70_Dynamic_50692\img_4.jpg; images\Genesis_Gv70_Dynamic_50692\img_5.jpg; images\Genesis_Gv70_Dynamic_50692\img_6.jpg; images\Genesis_Gv70_Dynamic_50692\img_7.jpg; images\Genesis_Gv70_Dynamic_50692\img_8.jpg,https://eg.hatla2ee.com/en/new-car/Genesis/GV70/50720
Genesis GV70 2026 A/T / Advanced New Cash or Installment,Genesis,Gv70,"4,800,000 EGP",2026,Advanced,automatic,Electric,SUV,N/A,N/A,489,N/A,N/A,"1,910","4,715","1,630",2875,5,N/A,N/A,700,4.4,images\Genesis_Gv70_Advanced_55281\img_1.jpg; images\Genesis_Gv70_Advanced_55281\img_2.jpg; images\Genesis_Gv70_Advanced_55281\img_3.jpg; images\Genesis_Gv70_Advanced_55281\img_4.jpg; images\Genesis_Gv70_Advanced_55281\img_5.jpg; images\Genesis_Gv70_Advanced_55281\img_6.jpg; images\Genesis_Gv70_Advanced_55281\img_7.jpg; images\Genesis_Gv70_Advanced_55281\img_8.jpg; images\Genesis_Gv70_Advanced_55281\img_9.jpg,https://eg.hatla2ee.com/en/new-car/Genesis/GV70/50721
IM IM 5 2026 A/T / Ultra Efficiency New Cash or Installment,Im,Im+_5,"1,900,000 EGP",2026,Ultra Efficiency,automatic,Electric,Sedan,N/A,N/A,291,N/A,N/A,0,N/A,N/A,N/A,5,N/A,N/A,450,5.6,images\Im_Im+_5_Ultra_Efficiency_59534\img_1.png; images\Im_Im+_5_Ultra_Efficiency_59534\img_2.png; images\Im_Im+_5_Ultra_Efficiency_59534\img_3.png; images\Im_Im+_5_Ultra_Efficiency_59534\img_4.png; images\Im_Im+_5_Ultra_Efficiency_59534\img_5.png; images\Im_Im+_5_Ultra_Efficiency_59534\img_6.png; images\Im_Im+_5_Ultra_Efficiency_59534\img_7.png; images\Im_Im+_5_Ultra_Efficiency_59534\img_8.png,https://eg.hatla2ee.com/en/new-car/IM/IM+_5/50906
IM IM 5 2026 A/T / Ultra Range New Cash or Installment,Im,Im+_5,"2,250,000 EGP",2026,Ultra Range,automatic,Electric,Sedan,N/A,N/A,402,N/A,N/A,0,N/A,N/A,N/A,5,N/A,N/A,500,4.6,images\Im_Im+_5_Ultra_Range_63738\img_1.png; images\Im_Im+_5_Ultra_Range_63738\img_2.png; images\Im_Im+_5_Ultra_Range_63738\img_3.png; images\Im_Im+_5_Ultra_Range_63738\img_4.png; images\Im_Im+_5_Ultra_Range_63738\img_5.png; images\Im_Im+_5_Ultra_Range_63738\img_6.png; images\Im_Im+_5_Ultra_Range_63738\img_7.png; images\Im_Im+_5_Ultra_Range_63738\img_8.png,https://eg.hatla2ee.com/en/new-car/IM/IM+_5/50907
Kaiyi X3 Pro 2026 A/T / Flagship New Cash or Installment,Kaiyi,Kaiyi X3 Pro,"859,900 EGP",2026,Flagship,CVT,gas,SUV,1500,9,156,92,N/A,"1,831","4,400","1,653",2632,5,4,51,230,N/A,images\Kaiyi_Kaiyi_X3_Pro_Flagship_43409\img_1.png; images\Kaiyi_Kaiyi_X3_Pro_Flagship_43409\img_2.jpg; images\Kaiyi_Kaiyi_X3_Pro_Flagship_43409\img_3.jpg; images\Kaiyi_Kaiyi_X3_Pro_Flagship_43409\img_4.jpg; images\Kaiyi_Kaiyi_X3_Pro_Flagship_43409\img_5.jpg; images\Kaiyi_Kaiyi_X3_Pro_Flagship_43409\img_6.jpg; images\Kaiyi_Kaiyi_X3_Pro_Flagship_43409\img_7.jpg; images\Kaiyi_Kaiyi_X3_Pro_Flagship_43409\img_8.jpg; images\Kaiyi_Kaiyi_X3_Pro_Flagship_43409\img_9.jpg; images\Kaiyi_Kaiyi_X3_Pro_Flagship_43409\img_10.jpg,https://eg.hatla2ee.com/en/new-car/Kaiyi/KAIYI-X3-PRO/50647
Kaiyi X7 2026 A/T / Flagship New Cash or Installment,Kaiyi,Kaiyi X7,"1,395,000 EGP",2026,Flagship,DSG,gas,SUV,1600,7,197,92,N/A,"1,955","4,710","1,705",2800,7,4,60,290,N/A,images\Kaiyi_Kaiyi_X7_Flagship_50839\img_1.png; images\Kaiyi_Kaiyi_X7_Flagship_50839\img_2.jpg; images\Kaiyi_Kaiyi_X7_Flagship_50839\img_3.jpg; images\Kaiyi_Kaiyi_X7_Flagship_50839\img_4.png; images\Kaiyi_Kaiyi_X7_Flagship_50839\img_5.png; images\Kaiyi_Kaiyi_X7_Flagship_50839\img_6.png; images\Kaiyi_Kaiyi_X7_Flagship_50839\img_7.jpg; images\Kaiyi_Kaiyi_X7_Flagship_50839\img_8.png; images\Kaiyi_Kaiyi_X7_Flagship_50839\img_9.png,https://eg.hatla2ee.com/en/new-car/Kaiyi/Kaiyi-X7/50645
Alfa Romeo Giulia 2025 AT / sprint New Cash or Installment,Alpha Romeo,Giulia,"2,749,000 EGP",2025,sprint,automatic,gas,Sedan,2000,8,200,95,6.9,"1,873","4,639","1,426",2820,5,4,58,330,4.7,images\Alpha_Romeo_Giulia_sprint_56045\img_1.jpg; images\Alpha_Romeo_Giulia_sprint_56045\img_2.jpg; images\Alpha_Romeo_Giulia_sprint_56045\img_3.jpg; images\Alpha_Romeo_Giulia_sprint_56045\img_4.png; images\Alpha_Romeo_Giulia_sprint_56045\img_5.jpg; images\Alpha_Romeo_Giulia_sprint_56045\img_6.jpg; images\Alpha_Romeo_Giulia_sprint_56045\img_7.jpg,https://eg.hatla2ee.com/en/new-car/alpha-romeo/Giulia/50564
Alfa Romeo Giulia 2025 A/T / Veloce New Cash or Installment,Alpha Romeo,Giulia,"3,149,000 EGP",2025,Veloce,automatic,gas,Sedan,2000,8,200,95,6.9,"1,873","4,639","1,426",2820,5,4,58,330,4.7,images\Alpha_Romeo_Giulia_Veloce_60241\img_1.jpg; images\Alpha_Romeo_Giulia_Veloce_60241\img_2.jpg; images\Alpha_Romeo_Giulia_Veloce_60241\img_3.jpg; images\Alpha_Romeo_Giulia_Veloce_60241\img_4.jpg; images\Alpha_Romeo_Giulia_Veloce_60241\img_5.jpg; images\Alpha_Romeo_Giulia_Veloce_60241\img_6.png; images\Alpha_Romeo_Giulia_Veloce_60241\img_7.jpg,https://eg.hatla2ee.com/en/new-car/alpha-romeo/Giulia/50565
Alfa Romeo Stelvio 2025 A/T / Sprint New Cash or Installment,Alpha Romeo,Stelvio,"3,325,000 EGP",2025,Sprint,automatic,gas,SUV,2000,8,280,95,7,"1,903","4,693","1,684",2818,5,4,64,400,6.7,images\Alpha_Romeo_Stelvio_Sprint_64328\img_1.jpg; images\Alpha_Romeo_Stelvio_Sprint_64328\img_2.jpg; images\Alpha_Romeo_Stelvio_Sprint_64328\img_3.jpg; images\Alpha_Romeo_Stelvio_Sprint_64328\img_4.jpg; images\Alpha_Romeo_Stelvio_Sprint_64328\img_5.jpg; images\Alpha_Romeo_Stelvio_Sprint_64328\img_6.jpg; images\Alpha_Romeo_Stelvio_Sprint_64328\img_7.jpg; images\Alpha_Romeo_Stelvio_Sprint_64328\img_8.jpg,https://eg.hatla2ee.com/en/new-car/alpha-romeo/Stelvio/50566
